order_id,customer_name,country_code,phone,email,product_name,amount,payment_mode,order_date,order_time
ORD00126,Karan Smith,AE,914919389,karan35@gmail.com,Keyboard,ten thousand,netbanking,2024-01-05,07:14:46
ORD00283,Arjun Iyer,MY,,arjun192@gmail.com,Tablet,32126,cash,2023-02-22,00:50:55
ORD00081,Arjun Smith,SG,83713328,arjun80@gmail.com,Mouse,8713,upi,2024-01-13,09:05:25
ORD00098,John Patel,SG,12345,john7@gmail.com,Phone,23082,card,2025-06-18,16:26:29
ORD00273,Ananya Kumar,MY,250212559,ananya182@gmail.com,Phone,32002,crypto,2024-05-16,15:31:05
ORD00176,John Sharma,XX,7943578618,john85@gmail.com,Keyboard,24280,cod,2025-11-02,00:48:01
ORD00047,Karan Smith,SG,53809723,karan46@gmail.com,Headphones,15876,cod,2025-09-01,17:14:54
ORD00213,Amit Mehta,AE,206861137,amit122@gmail.com,Monitor,-1000,upi,2024-02-27,19:44:55
ORD00046,Karan Mehta,AU,515921076,karan45@gmail.com,Headphones,2260,card,2024-08-10,10:44:18
ORD00074,Arjun Mehta,IN,5138401418,arjun73@gmail.com,Camera,16171,upi,2024-11-15,14:55:39
ORD00195,Amit Singh,AU,025111825,amit104@gmail.com,Tablet,35010,cod,2023-12-03,12:90:80
ORD00224,Priya Patel,IN,6443799522,priya133@gmail.com,Headphones,20918,  card  ,2024-01-15,16:15:14
ORD00050,Priya Brown,MY,815722592,priya49@gmail.com,Tablet,20043,wallet,2023-11-13,05:29:17
ORD00267,Riya Iyer,US,9501269120,riya176@gmail.com,Laptop,14674,crypto,2024-05-14,05:25:11
ORD00090,Priya Mehta,MY,300629134,priya89@gmail.com,Headphones,38710,upi,2023-11-29,09:34:10
ORD00100,Riya Iyer,AE,196583655,riya9@gmail.com,Tablet,23296,cash,2025-02-30,12:47:05
ORD00085,Emma Kumar,MY,369589082,emma84@gmail.com,Tablet,13211,upi,2023-12-31,15:01:25
ORD00171,Rahul Sharma,US,9823499859,rahul80@gmail.com,Monitor,ten thousand,netbanking,2024-07-06,22:52:31
ORD00001,Karan Patel,US,4928450741,karan23@gmail.com,Headphones,9588,wallet,2023-04-25,01:47:57
ORD00065,Arjun Smith,US,4286523215,arjun64@gmail.com,Keyboard,24005,cash,2025-06-16,01:45:48
ORD00239,Sneha Kumar,AU,748832385,sneha148@gmail.com,Headphones,6395,  card  ,2024-02-11,21:39:57
ORD00001,Emma Singh,US,8592346447,emma179@gmail.com,Phone,43494,netbanking,2025-11-02,17:33:09
ORD00182,Karan Singh,SG,71243239,karan91@gmail.com,Monitor,14243,bitcoin,2024-09-22,03:16:13
ORD00144,Arjun Mehta,US,8700090168,arjun53@gmail.com,Headphones,-1000,netbanking,2023-10-10,16:04:09
ORD00203,Karan Kumar,GB,2615178464,karan112@gmail.com,Camera,2432,  card  ,2025-10-09,06:08:16
ORD00240,Karan Sharma,AU,804929802,karan149@gmail.com,Laptop,45595,  card  ,2023-08-09,15:29:26
ORD00136,Sneha Smith,IN,1940242376,sneha45@gmail.com,Monitor,-1000,netbanking,2023-07-19,00:30:44
ORD00061,Rahul Kumar,SG,24272238,rahul60@gmail.com,Tablet,11442,cod,2024-07-20,12:35:30
ORD00079,Emma Sharma,GB,8172276271,emma78@gmail.com,Mouse,9280,card,2023-06-24,03:39:53
ORD00024,Amit Sharma,AE,215012376,amit23@gmail.com,Keyboard,43439,wallet,2023-05-03,01:09:07
ORD00056,Sneha Sharma,SG,16847127,sneha55@gmail.com,Headphones,33179,cash,2025-06-12,17:19:06
ORD00281,Sneha Iyer,GB,2091797013,abc@,Mouse,14129,cash,2023-10-12,01:57:08
ORD00096,Karan Singh,AE,513516160,karan5@gmail.com,Monitor,45935,card,2025-11-21,99:00:00
ORD00128,Riya Sharma,SG,94922411,riya37@gmail.com,Camera,-1000,cod,2025-12-22,17:47:50
ORD00019,Priya Smith,IN,9884381667,priya18@gmail.com,Phone,4042,netbanking,2025-06-05,20:27:33
ORD00257,Karan Iyer,GB,2661693857,abc@,Monitor,48356,cash,2025-10-01,02:13:51
ORD00184,Rahul Brown,MY,,rahul93@gmail.com,Monitor,9575,cod,2023-04-30,04:21:48
ORD00001,Rahul Mehta,AE,710468660,rahul100@gmail.com,Keyboard,37909,upi,2023-05-01,12:58:55
ORD00086,Amit Mehta,AU,978742139,amit85@gmail.com,Monitor,46098,upi,2023-06-04,06:23:42
ORD00036,Karan Brown,US,4462888109,karan35@gmail.com,Tablet,34161,netbanking,2023-07-27,14:58:41
ORD00106,John Iyer,IN,2584559569,john15@gmail.com,Monitor,17629,crypto,2023-05-22,00:50:27
ORD00031,Karan Singh,AU,260633062,karan30@gmail.com,Phone,11545,netbanking,2024-06-30,13:10:49
ORD00083,Riya Iyer,SG,00542691,riya82@gmail.com,Keyboard,30228,card,2023-02-15,17:09:07
ORD00028,Priya Iyer,AU,613356748,priya27@gmail.com,Tablet,25481,cash,2024-06-17,23:01:48
ORD00265,Karan Kumar,IN,12345,karan174@gmail.com,Camera,11644,upi,2023-03-13,16:02:52
ORD00001,Riya Sharma,US,1035272610,riya114@gmail.com,Phone,148,netbanking,2025-07-01,10:49:18
ORD00218,Amit Patel,MY,206453935,amit127@gmail.com,Monitor,36374,cash,2023-01-05,24:61:10
ORD00175,Emma Brown,XX,007613041,emma84@gmail.com,Keyboard,27137,cash,2023-04-13,02:13:20
ORD00052,Rahul Mehta,SG,31276218,rahul51@gmail.com,Laptop,39818,cod,2024-04-30,20:06:26
ORD00001,Ananya Smith,AE,999702620,ananya68@gmail.com,Mouse,29857,cash,2024-06-09,22:17:37
ORD00249,John Kumar,AU,047612587,abc@,Laptop,3836,card,2024-04-05,13:10:55
ORD00298,John Mehta,GB,2258992944,john207@gmail.com,Monitor,41185,card,2025-03-13,99:00:00
ORD00244,Arjun Iyer,GB,2246086591,arjun153@gmail.com,Laptop,ten thousand,card,2024-12-02,07:56:58
ORD00222,Sneha Brown,AE,105034719,abc@,Tablet,22454,card,2023-08-09,00:56:44
ORD00163,Sneha Patel,IN,3425642805,sneha72@gmail.com,Mouse,34536,paypal,2023-10-17,01:21:26
ORD00121,Emma Sharma,SG,12345,emma30@gmail.com,Monitor,11474,cash,2023-06-04,07:57:46
ORD00160,Rahul Sharma,AU,,rahul69@gmail.com,Mouse,6241,wallet,2024-05-13,13:49:36
ORD00227,Amit Sharma,AE,144892848,amit136@gmail.com,Monitor,45873,cash,31-13-2024,22:56:47
ORD00005,Emma Mehta,AE,039150536,emma4@gmail.com,Laptop,41964,upi,2025-10-10,20:46:14
ORD00012,Emma Mehta,IN,1588282776,emma11@gmail.com,Laptop,16933,cod,2025-09-22,10:25:58
ORD00266,Emma Brown,MY,165057204,,Laptop,47525,cod,2025-04-29,12:30:59
ORD00125,Priya Brown,SG,02832759,priya34@gmail.com,Keyboard,31723,  card  ,2024-06-22,15:17:14
ORD00157,Amit Sharma,US,,amit66@gmail.com,Laptop,27013,card,2025-12-30,12:03:30
ORD00232,Sneha Kumar,AU,435722995,sneha141@gmail.com,Headphones,34486,wallet,2024-05-13,24:61:10
ORD00143,Karan Sharma,XX,1888883644,karan52@gmail.com,Tablet,26083,upi,2023-04-30,22:13:19
ORD00011,Priya Kumar,US,8335460813,priya10@gmail.com,Keyboard,49783,cash,2024-02-02,08:36:14
